Målepunkt id,Fra dato,Til dato,Mængde,Måleenhed
571313115103364037,21-08-2018 kl. 08,21-08-2018 kl. 09,0.077,kWh
571313115103364037,21-08-2018 kl. 07,21-08-2018 kl. 08,0.076,kWh
571313115103364037,21-08-2018 kl. 06,21-08-2018 kl. 07,0.079,kWh
571313115103364037,21-08-2018 kl. 05,21-08-2018 kl. 06,0.078,kWh
571313115103364037,21-08-2018 kl. 04,21-08-2018 kl. 05,0.079,kWh
571313115103364037,21-08-2018 kl. 03,21-08-2018 kl. 04,0.084,kWh
571313115103364037,21-08-2018 kl. 02,21-08-2018 kl. 03,0.144,kWh
571313115103364037,21-08-2018 kl. 01,21-08-2018 kl. 02,0.077,kWh
571313115103364037,21-08-2018 kl. 00,21-08-2018 kl. 01,0.076,kWh
571313115103364037,20-08-2018 kl. 23,21-08-2018 kl. 00,0.076,kWh
571313115103364037,20-08-2018 kl. 22,20-08-2018 kl. 23,0.076,kWh
571313115103364037,20-08-2018 kl. 21,20-08-2018 kl. 22,0.076,kWh
571313115103364037,20-08-2018 kl. 20,20-08-2018 kl. 21,0.081,kWh
571313115103364037,20-08-2018 kl. 19,20-08-2018 kl. 20,0.207,kWh
571313115103364037,20-08-2018 kl. 18,20-08-2018 kl. 19,0.222,kWh
571313115103364037,20-08-2018 kl. 17,20-08-2018 kl. 18,0.181,kWh
571313115103364037,20-08-2018 kl. 16,20-08-2018 kl. 17,0.259,kWh
571313115103364037,20-08-2018 kl. 15,20-08-2018 kl. 16,0.301,kWh
571313115103364037,20-08-2018 kl. 14,20-08-2018 kl. 15,0.321,kWh
571313115103364037,20-08-2018 kl. 13,20-08-2018 kl. 14,0.128,kWh
571313115103364037,20-08-2018 kl. 12,20-08-2018 kl. 13,0.089,kWh
571313115103364037,20-08-2018 kl. 11,20-08-2018 kl. 12,0.111,kWh
571313115103364037,20-08-2018 kl. 10,20-08-2018 kl. 11,0.093,kWh
571313115103364037,20-08-2018 kl. 09,20-08-2018 kl. 10,0.154,kWh
571313115103364037,20-08-2018 kl. 08,20-08-2018 kl. 09,0.104,kWh
571313115103364037,20-08-2018 kl. 07,20-08-2018 kl. 08,0.084,kWh
571313115103364037,20-08-2018 kl. 06,20-08-2018 kl. 07,0.085,kWh
571313115103364037,20-08-2018 kl. 05,20-08-2018 kl. 06,0.085,kWh
571313115103364037,20-08-2018 kl. 04,20-08-2018 kl. 05,0.085,kWh
571313115103364037,20-08-2018 kl. 03,20-08-2018 kl. 04,0.086,kWh
571313115103364037,20-08-2018 kl. 02,20-08-2018 kl. 03,0.086,kWh
571313115103364037,20-08-2018 kl. 01,20-08-2018 kl. 02,0.088,kWh
571313115103364037,20-08-2018 kl. 00,20-08-2018 kl. 01,0.093,kWh
571313115103364037,19-08-2018 kl. 23,20-08-2018 kl. 00,0.127,kWh
571313115103364037,19-08-2018 kl. 22,19-08-2018 kl. 23,0.08,kWh
571313115103364037,19-08-2018 kl. 21,19-08-2018 kl. 22,0.074,kWh
